vid,vehicle_class,vocation,vehicle_type,fuel_type,drivetrain_type
84.0,8.0,Beverage Delivery,Tractor,Diesel,Conventional
85.0,8.0,Beverage Delivery,Tractor,Diesel,Conventional
86.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
87.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
88.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
89.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
90.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
91.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
92.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
93.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
94.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
95.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
96.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
97.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
98.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
99.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
100.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
101.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
102.0,5.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
103.0,5.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
104.0,5.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
105.0,5.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
106.0,5.0,Parcel Delivery,Walk In,Diesel,Conventional
107.0,5.0,Parcel Delivery,Walk In,Diesel,Conventional
108.0,5.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
109.0,5.0,Parcel Delivery,Walk In,Diesel,Conventional
110.0,5.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
111.0,5.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
112.0,3.0,Parcel Delivery,Step Van,Diesel,Conventional
115.0,5.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
116.0,5.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
117.0,3.0,Parcel Delivery,Step Van,Diesel,Conventional
118.0,3.0,Parcel Delivery,Step Van,Diesel,Conventional
119.0,3.0,Parcel Delivery,Step Van,Diesel,Conventional
120.0,3.0,Parcel Delivery,Step Van,Diesel,Conventional
121.0,3.0,Parcel Delivery,Step Van,Diesel,Conventional
122.0,3.0,Parcel Delivery,Step Van,Diesel,Conventional
124.0,6.0,Linen Delivery,Walk In,Diesel,Conventional
